location_name_clean,temperature_celsius,humidity,precip_mm,wind_kph
funafuti,28.666343042071198,82.2135922330097,0.4094822006472492,17.533009708737865
gaborone,27.25533980582524,33.006472491909385,0.05491909385113268,13.26537216828479
georgetown,25.23888888888889,91.81372549019608,0.4503921568627451,8.963398692810458
grenada,28.2,73.0,0.0,5.0
grindavik,8.894444444444444,74.83333333333333,0.14722222222222223,30.375
guatemala city,17.096052631578946,91.0592105263158,0.06473684210526316,7.447697368421053
hanoi,26.186363636363634,67.56493506493507,0.3087987012987013,11.117532467532467
harare,25.788599348534202,33.25407166123779,0.10980456026058633,10.986970684039088
havana,23.699019607843137,89.00980392156863,0.05696078431372549,14.731699346405227
helsinki,10.549190938511327,73.00970873786407,0.08440129449838188,18.24304207119741
ho chi minh city,26.6,86.0,0.1,6.5
honiara,26.218446601941746,88.44012944983818,0.3220064724919094,8.6873786407767
